"product_id","star_rating","review_body"
"B0051VVOB2","5","I love the graphics first of all. I love that I have all my books that I want to read right at my finger tips. I would not trade my fire for any other tablet. This is a must have'!!"
"B0051VVOB2","5","Love my Kindle Fire, had to buy one for a friend and am planning on getting one for my son as he ventures off to school! Would recommend this product for those who want something different that the normal pc life!"
"B0051VVOB2","5","I bought the Fire as a Christmas present to myself. I had some second thoughts after reading some of the negative reviews. I held off until Christmas to unwrap the package and I couldn't have been more surprised. The Fire has operated as promised. Too many reviewers tried to compare the Fire with an IPAD, which it is not. It is exactly what Amazon advertised. I find the Silk browser to be as fast as IE 8 on my desktop, the display is awesome, steaming content plays without interruption, and using the Fire is intuitive. As promised the Fire is a media consumption device with the added ability to access the internet and email. It allows me avoid booting up my desktop just for a quick email check or web search. I am sure there are more apps that I could install, but so far everything that I want or think I need has been available--including Angry Birds. There are still features I haven't used, such as the Cloud, but as time goes on I expect the Fire will handle them seemlessly. The only thing I find even a bit disappointing is a rather narrow selection of free media on Prime. The hype with Prime was there were thousands of free video and text available. I am sure there are if one was to count, but the question is how many of them would a consumer really want to view or read.  All in all the Fire is a great buy and I will most likely purchase a second one for my wife."
"B0051VVOB2","5","If you read at all you need a Kindle. It is easy to use, words big enough to where you don't have a problem reading in any situation. Amazon has enough Free stuff( if you join Prime) to keep you reading forever. Down loading games for the most part are cheep, if not free. and the books are cheap and a bunch of free ones.<br /><br />It is real comfortable to hold, in a plane, car , in bed at night ,or sitting in your favorite chair or if you prefer standing up in line at an airport,"
"B0051VVOB2","4","I have both an iPad and a kindle fire. They both have their places. The fire does exactly what was advertised, no need to bash it for being a value oriented tablet.  I think the fire is going to be great for traveling thanks to its small size and light weight. There are a few quirks with the software but this is common with a brand new device.  The default news stand view is a little annoying  it would be nice to be able to customize the main interface.  This does however keep the device better organized than the iPad.  If the amazon app store expands and they bring instant videos to PS3 it will really help the case for amazon's tablet market."
"B0051VVOB2","5","I bought the Kindle Fire for my husband who has routinely co-opted my Xoom for over a year.  I have to say, I might have to start stealing his Fire from time to time.<br /><br />It's smaller than I'm used to (7\\"" vs. 10\\"") and lighter by far.  The interface is easy to negotiate (a little too easy for my liking with the carousel, but my husband is good with it), and the whole device is much more snappy than I expected.  I'm really impressed with the video streaming!  The resolution is much better than I thought, and it streamed just like my more costly tablet without any problems or weird buffering.<br /><br />That said, I don't like it much for reading.  I much prefer E-ink to the backlit screen, which is the case with my Xoom, too.  As others have mentioned, I haven't yet figured out how to get the page numbers/progress meter to reliably show, which is a little vexing, but not a huge deal for me."
"B0051VVOB2","2","I had to return this product since it was too complicated to put together and I did not really like it."
"B0051VVOB2","1","DO NOT buy this device. I have had it for about 1 month & have had way to many problems with it locking up & having to hard shut it to restart. Now is isn't even holding a charge & won't even turn on. I repeat O NOT buy this item."
"B0051VVOB2","5","I wasn't sure about buying this for my 8 year old daughter.  I am happy that I did.  She loves to read and this has encouraged her to read even more.  She doesn't leave the house without the Kindle Fire.  I do wish there were more library titles to choose from.  I use it for email and facebook instead of the laptop.  We have had it for almost a month and love it."
"B0051VVOB2","1","Every time I go to use mine, the battery is dead.  It locks up all the time also.  It takes a long time to turn on.  It's gets really hot when it's charging.  On the bright side, it makes a nice paperweight.  Failure product, waste of money."
"B0051VVOB2","5","This product, Kindle Fire, was purchased by my husband for my Christmas present.  It is an easy item to get great games, books, etc.  I am so happy with my Kindle and take it everywhere I go."
